critic,fresh,imdb,publication,quote,review_date,rtid,title,quote_len,qt
Liam Lacey,1,119324.0,Globe and Mail,"This is a definitive Posey performance: wide-eyed, smiling and ultrafeminine, but plastic and cold as a store mannequin.",2002-07-12,14202.0,The House of Yes,18,this is a definitive posey performance wide eyed smiling and ultrafeminine but plastic and cold as a store mannequin
James Berardinelli,1,119324.0,ReelViews,"Not every chance taken by Mark Waters works, but enough are successful to produce some memorable motion picture moments.",2000-01-01,14202.0,The House of Yes,19,not every chance taken by mark waters works but enough are successful to produce some memorable motion picture moments
Roger Ebert,0,119324.0,Chicago Sun-Times,"When the film was over I was not particularly pleased that I had seen it; it was mostly behavior and contrivance. While it was running, I was not bored.",2000-01-01,14202.0,The House of Yes,29,when the film was over i was not particularly pleased that i had seen it it was mostly behavior and contrivance while it was running i was not bored
Edward Guthmann,0,119324.0,San Francisco Chronicle,"Presumably it worked far better onstage, where MacLeod's absurdist tale and self-conscious, Beckett-like wordplay probably found a friendlier context.",2000-01-01,14202.0,The House of Yes,19,presumably it worked far better onstage where macleods absurdist tale and self conscious beckett like wordplay probably found a friendlier context
Mike Clark,0,120481.0,USA Today,"There's isn't much tension here, and, if anything, the film is stolen by Maggie Smith and Judith Ivey as Finney's sisters.",2000-01-01,11378.0,Washington Square,21,theres isnt much tension here and if anything the film is stolen by maggie smith and judith ivey as finneys sisters
Lisa Alspector,0,119177.0,Chicago Reader,"I didn't care enough about Hawke's character to ignore a big problem in the story's logic: if this future has such incredible biotechnology, why can't Law just get his damaged body parts fixed?",2007-06-05,10356.0,Gattaca,33,i didnt care enough about hawkes character to ignore a big problem in the storys logic if this future has such incredible biotechnology why cant law just get his damaged body parts fixed
Emanuel Levy,1,119177.0,Variety,"One of first Hollywood films about the effects of genetic engineering on human conduct, Andrew Niccol's directing debut is an intelligent and timely sci-fi that, despite some illogical plot contrivances, is emotionally engaging almost up to the end.",2006-07-05,10356.0,Gattaca,38,one of first hollywood films about the effects of genetic engineering on human conduct andrew niccols directing debut is an intelligent and timely sci fi that despite some illogical plot contrivances is emotionally engaging almost up to the end
Rick Groen,0,119177.0,Globe and Mail,Designer babies rule dystopia in stylish SF thriller filled with recycled plot devices.,2002-04-12,10356.0,Gattaca,13,designer babies rule dystopia in stylish sf thriller filled with recycled plot devices
Roger Ebert,1,119177.0,Chicago Sun-Times,"At a time when we read about cloned sheep and tomatoes crossed with fish, the science in Gattaca is theoretically possible.",2000-01-01,10356.0,Gattaca,21,at a time when we read about cloned sheep and tomatoes crossed with fish the science in gattaca is theoretically possible
Susan Wloszczyna,1,119177.0,USA Today,"If smart sci-fi is your vial of tea, Gattaca won't disappoint.",2000-01-01,10356.0,Gattaca,11,if smart sci fi is your vial of tea gattaca wont disappoint
Mick LaSalle,0,119177.0,San Francisco Chronicle,"The hero's struggle in Gattaca would have been more compelling were he an average fellow going up against geniuses, and not a healthy fellow going up against somewhat healthier specimens.",2000-01-01,10356.0,Gattaca,30,the heros struggle in gattaca would have been more compelling were he an average fellow going up against geniuses and not a healthy fellow going up against somewhat healthier specimens
James Berardinelli,1,119177.0,ReelViews,"Gattaca doesn't just function as a science fiction thriller, but as both a cautionary tale about the dangers of letting scientific ability outstrip ethics and as a morality play about the irrationality of bigotry.",2000-01-01,10356.0,Gattaca,34,gattaca doesnt just function as a science fiction thriller but as both a cautionary tale about the dangers of letting scientific ability outstrip ethics and as a morality play about the irrationality of bigotry
Scott Rosenberg,0,119177.0,Salon.com,"When they sculpted the DNA for the perfect race in Gattaca, somebody left out the gene for self-knowledge.",2000-01-01,10356.0,Gattaca,18,when they sculpted the dna for the perfect race in gattaca somebody left out the gene for self knowledge
Andrew Sarris,0,293508.0,New York Observer,My own reaction to the current version fashioned by Mr. Schumacher is one of pure stupefaction.,2005-01-27,10017.0,The Phantom of the Opera,16,my own reaction to the current version fashioned by mr schumacher is one of pure stupefaction
Anthony Lane,0,293508.0,New Yorker,The plot is impressively free of anything that does not smell of unpasteurized melodrama.,2005-01-15,10017.0,The Phantom of the Opera,14,the plot is impressively free of anything that does not smell of unpasteurized melodrama
Stephanie Zacharek,0,293508.0,Salon.com,Takes everything that's wrong with Broadway and puts it on the big screen in a gaudy splat.,2004-12-27,10017.0,The Phantom of the Opera,17,takes everything thats wrong with broadway and puts it on the big screen in a gaudy splat
Richard Roeper,0,293508.0,Ebert & Roeper,"This guy's not the Phantom of the Opera, he's the Fashionably Scarred Stud of the Opera and that just doesn't work.",2004-12-27,10017.0,The Phantom of the Opera,21,this guys not the phantom of the opera hes the fashionably scarred stud of the opera and that just doesnt work
Carrie Rickey,0,293508.0,Philadelphia Inquirer,Joel Schumacher's film adaptation of Lloyd Webber's The Phantom of the Opera combines fingernails-on- blackboard audio agony with bamboo- under- fingernails physical torture.,2004-12-23,10017.0,The Phantom of the Opera,23,joel schumachers film adaptation of lloyd webbers the phantom of the opera combines fingernails on  blackboard audio agony with bamboo  under  fingernails physical torture
Owen Gleiberman,0,293508.0,Entertainment Weekly,"The movie version of Lloyd Webber's swooning 1986 horror operetta has been directed, by Joel Schumacher, as if Schumacher were the world's hardest-working upholstery salesman.",2004-12-23,10017.0,The Phantom of the Opera,25,the movie version of lloyd webbers swooning  horror operetta has been directed by joel schumacher as if schumacher were the worlds hardest working upholstery salesman
Philip Kennicott,1,293508.0,Washington Post,The movie version of Lloyd Webber's smash hit does to the music what the music did to the words and story: It distracts the mind and cajoles the eyes to the point that one doesn't really care that everything the ears are hearing is pure nonsense.,2004-12-22,10017.0,The Phantom of the Opera,46,the movie version of lloyd webbers smash hit does to the music what the music did to the words and story it distracts the mind and cajoles the eyes to the point that one doesnt really care that everything the ears are hearing is pure nonsense
Claudia Puig,1,293508.0,USA Today,"For those whose primary experience with musicals is on the screen, this melodramatic tale with the familiar soundtrack should hold substantial appeal.",2004-12-22,10017.0,The Phantom of the Opera,22,for those whose primary experience with musicals is on the screen this melodramatic tale with the familiar soundtrack should hold substantial appeal
Peter Howell,0,293508.0,Toronto Star,"The film overflows with overkill, from the amped-up orchestra that constantly threatens to submerge the singers to the ornate silliness of each and every scene involving the Phantom.",2004-12-22,10017.0,The Phantom of the Opera,28,the film overflows with overkill from the amped up orchestra that constantly threatens to submerge the singers to the ornate silliness of each and every scene involving the phantom
Moira MacDonald,1,293508.0,Seattle Times,"It's a shamelessly over-the-top wallow in romantic obsession, and a thoroughly enjoyable one.",2004-12-22,10017.0,The Phantom of the Opera,13,its a shamelessly over the top wallow in romantic obsession and a thoroughly enjoyable one
Roger Moore,0,293508.0,Orlando Sentinel,It was the '80s. You really had to be there. Preferably with low expectations.,2004-12-22,10017.0,The Phantom of the Opera,14,it was the s you really had to be there preferably with low expectations
Stephen Whitty,0,293508.0,Newark Star-Ledger,"If you want something more from musicals than a single syrupy hit, though -- and have fond memories of the Phantom as our most romantic of monsters -- then seek out the old Lon Chaney silent instead, and put on your own darn music.",2004-12-22,10017.0,The Phantom of the Opera,44,if you want something more from musicals than a single syrupy hit though    and have fond memories of the phantom as our most romantic of monsters    then seek out the old lon chaney silent instead and put on your own darn music
Lou Lumenick,0,293508.0,New York Post,"The falling chandelier, the signature moment of Phantom, has been moved from the end of the first act to the climax of the movie -- by which point non-devotees may need to be roused from their sleep by their companions.",2004-12-22,10017.0,The Phantom of the Opera,40,the falling chandelier the signature moment of phantom has been moved from the end of the first act to the climax of the movie    by which point non devotees may need to be roused from their sleep by their companions
Sid Smith,0,293508.0,Chicago Tribune,"Andrew Lloyd Webber's kitschy theatrical spectacle is now a kitschy theatrical movie, a mix of melodrama, horror, romance, mystery and melody heaped together into a cinematic smorgasbord, one heavy in starch.",2004-12-22,10017.0,The Phantom of the Opera,31,andrew lloyd webbers kitschy theatrical spectacle is now a kitschy theatrical movie a mix of melodrama horror romance mystery and melody heaped together into a cinematic smorgasbord one heavy in starch
Roger Ebert,1,293508.0,Chicago Sun-Times,Schumacher has bravely taken aboard this dreck and made of it a movie I am pleased to have seen.,2004-12-22,10017.0,The Phantom of the Opera,19,schumacher has bravely taken aboard this dreck and made of it a movie i am pleased to have seen
Geoff Pevere,0,335563.0,Toronto Star,Rarely has so much of so little consequence been so closely examined.,2003-10-24,13376.0,Wonderland,12,rarely has so much of so little consequence been so closely examined
Jay Boyar,1,335563.0,Orlando Sentinel,Sometimes Wonderland does make you wonder why you're wasting your time with these losers. But there's also a lot here that stays with you.,2003-10-24,13376.0,Wonderland,24,sometimes wonderland does make you wonder why youre wasting your time with these losers but theres also a lot here that stays with you
Liam Lacey,0,335563.0,Globe and Mail,"The main interest here is the acting, which is, by turns, entertaining or just entertainingly bad, with lots of grungy seriousness and Method-trained twitching, but also some moments of real gusto.",2003-10-24,13376.0,Wonderland,31,the main interest here is the acting which is by turns entertaining or just entertainingly bad with lots of grungy seriousness and method trained twitching but also some moments of real gusto
Michael O'Sullivan,1,335563.0,Washington Post,A film whose effects are as hard to wash away as blood.,2003-10-17,13376.0,Wonderland,12,a film whose effects are as hard to wash away as blood
Stephen Hunter,0,335563.0,Washington Post,"Overblown, overheated, overdirected, overacted, overlong and over here, in the local bijoux.",2003-10-17,13376.0,Wonderland,12,overblown overheated overdirected overacted overlong and over here in the local bijoux
Walter V. Addiego,0,335563.0,San Francisco Chronicle,"If for some reason you are fascinated by the Wonderland murders, look up the Rolling Stone article of 1989 that brought national attention to the gruesome case. Otherwise, your local cineplex has lots of choices with more redeeming social value.",2003-10-17,13376.0,Wonderland,40,if for some reason you are fascinated by the wonderland murders look up the rolling stone article of  that brought national attention to the gruesome case otherwise your local cineplex has lots of choices with more redeeming social value
Rene Rodriguez,0,335563.0,Miami Herald,Wonderland never gives us a single reason to care about any of these people.,2003-10-17,13376.0,Wonderland,14,wonderland never gives us a single reason to care about any of these people
Tom Long,1,335563.0,Detroit News,Wonderland may not be the feel-good movie of the year; in fact it feels pretty lousy most of the time. But it offers a dark story well-told with some truly fine performances.,2003-10-17,13376.0,Wonderland,32,wonderland may not be the feel good movie of the year in fact it feels pretty lousy most of the time but it offers a dark story well told with some truly fine performances
Roger Ebert,0,335563.0,Chicago Sun-Times,"True crime procedurals can have a certain fascination, but not when they're jumbled glimpses of what might or might not have happened involving a lot of empty people whose main claim to fame is that they're dead.",2003-10-17,13376.0,Wonderland,37,true crime procedurals can have a certain fascination but not when theyre jumbled glimpses of what might or might not have happened involving a lot of empty people whose main claim to fame is that theyre dead
Ty Burr,0,335563.0,Boston Globe,Wonderland skips lightly along the sewers of human depravity as if the trip alone was worth the telling.,2003-10-17,13376.0,Wonderland,18,wonderland skips lightly along the sewers of human depravity as if the trip alone was worth the telling
Bill Muller,0,335563.0,Arizona Republic,"A dry, forensic account, more suitable for a true-crime show on late-night cable.",2003-10-16,13376.0,Wonderland,13,a dry forensic account more suitable for a true crime show on late night cable
Philip Wuntch,0,335563.0,Dallas Morning News,"Wonderland is in your face. Any deeper connections, like those to heart and mind, get lost in the splash.",2003-10-16,13376.0,Wonderland,19,wonderland is in your face any deeper connections like those to heart and mind get lost in the splash
Bruce Newman,0,335563.0,San Jose Mercury News,"The film reveals no great truths about human nature or drug abuse, the dialogue is witless, the acting unconstrained.",2003-10-16,13376.0,Wonderland,19,the film reveals no great truths about human nature or drug abuse the dialogue is witless the acting unconstrained
Carrie Rickey,0,335563.0,Philadelphia Inquirer,"Although Wonderland isn't much of a movie, it is a parade of exceptional acting.",2003-10-16,13376.0,Wonderland,14,although wonderland isnt much of a movie it is a parade of exceptional acting
Colin Covert,0,335563.0,Minneapolis Star Tribune,Wonderland aspires to the grisly poetry of a James Ellroy novella but only achieves the ugliness of an 8-mm loop.,2003-10-16,13376.0,Wonderland,20,wonderland aspires to the grisly poetry of a james ellroy novella but only achieves the ugliness of an  mm loop
Michael Wilmington,1,335563.0,Chicago Tribune,Wonderland is fast and frenetic and so unvarnished that it can make you feel unclean watching it.,2003-10-16,13376.0,Wonderland,17,wonderland is fast and frenetic and so unvarnished that it can make you feel unclean watching it
Susan Wloszczyna,0,119535.0,USA Today,"Flippantly hip without any solid laughs, Life strains to be the flick more offbeat.",2000-01-01,13837.0,A Life Less Ordinary,14,flippantly hip without any solid laughs life strains to be the flick more offbeat
Peter Rainer,0,174856.0,New York Magazine,"The movie's dogged humorlessness, and its sixties-style cant, don't do justice to all the political crosscurrents in this story.",2004-08-07,13539.0,The Hurricane,19,the movies dogged humorlessness and its sixties style cant dont do justice to all the political crosscurrents in this story
Liam Lacey,1,174856.0,Globe and Mail,A reminder that there's still a lot to be said for the good old-fashioned inspirational Hollywood movie.,2003-04-25,13539.0,The Hurricane,17,a reminder that theres still a lot to be said for the good old fashioned inspirational hollywood movie
Mick LaSalle,1,174856.0,San Francisco Chronicle,Give director Norman Jewison credit for two things: 1) He made the movie; 2) He let Washington run away with it.,2002-06-18,13539.0,The Hurricane,21,give director norman jewison credit for two things  he made the movie  he let washington run away with it
Jay Carr,1,174856.0,Boston Globe,"Its celebration of a spirit that refused to go down for the count is the important thing here, and Washington gets it shiningly right.",2000-01-01,13539.0,The Hurricane,24,its celebration of a spirit that refused to go down for the count is the important thing here and washington gets it shiningly right
Kenneth Turan,1,174856.0,Los Angeles Times,"The last great performance of 1999, and arguably the best of the lot as well.",2000-01-01,13539.0,The Hurricane,15,the last great performance of  and arguably the best of the lot as well
Roger Ebert,1,174856.0,At the Movies,"One of Denzel Washington's great performances, on a par with his work in Malcolm X.",2000-01-01,13539.0,The Hurricane,15,one of denzel washingtons great performances on a par with his work in malcolm x
Bob Longino,1,174856.0,Atlanta Journal-Constitution,Fashioned with the kind of classic Hollywood professionalism that's fast becoming a rarity at the movies.,2000-01-01,13539.0,The Hurricane,16,fashioned with the kind of classic hollywood professionalism thats fast becoming a rarity at the movies
Owen Gleiberman,1,174856.0,Entertainment Weekly,This movie about the nightmare of incarceration makes you taste the meaning of freedom.,2000-01-01,13539.0,The Hurricane,14,this movie about the nightmare of incarceration makes you taste the meaning of freedom
John Anderson,0,174856.0,Newsday,"The story never radiates much beyond the corruption of Carter's lifelong enemy, Paterson detective Vincent Della Pesca.",2000-01-01,13539.0,The Hurricane,17,the story never radiates much beyond the corruption of carters lifelong enemy paterson detective vincent della pesca
Andrew O'Hehir,1,174856.0,Salon.com,"The Hurricane delivers a mighty emotional load, most of it borne on the broad shoulders of a great actor hitting his prime.",2000-01-01,13539.0,The Hurricane,22,the hurricane delivers a mighty emotional load most of it borne on the broad shoulders of a great actor hitting his prime
Jeff Millar,1,174856.0,Houston Chronicle,It's a measure of Washington's strengths that he swims while the film sinks.,2000-01-01,13539.0,The Hurricane,13,its a measure of washingtons strengths that he swims while the film sinks
Lisa Alspector,1,119080.0,Chicago Reader,"Subplots are woven stealthily into the story, taking the pressure off the central drama, allowing it to be affecting rather than melodramatic, and heightening the atmosphere of the lush Louisiana setting.",2008-03-19,13454.0,Eve's Bayou,31,subplots are woven stealthily into the story taking the pressure off the central drama allowing it to be affecting rather than melodramatic and heightening the atmosphere of the lush louisiana setting
Emanuel Levy,1,119080.0,Variety,An intensely emotional drama that mixes elements of Southern Gothic with the kinds of characters and tensions that prevail in the plays of Southern writers like Tennessee Williams.,2006-06-24,13454.0,Eve's Bayou,28,an intensely emotional drama that mixes elements of southern gothic with the kinds of characters and tensions that prevail in the plays of southern writers like tennessee williams
,1,119080.0,Time Out,"Writer/director Kasi Lemmons shows sweet judgment here, doesn't caricature or demonise the errant father, and elicits a host of nuanced performances from women of all ages.",2006-06-24,13454.0,Eve's Bayou,26,writerdirector kasi lemmons shows sweet judgment here doesnt caricature or demonise the errant father and elicits a host of nuanced performances from women of all ages
Mick LaSalle,0,119080.0,San Francisco Chronicle,"A gothic and, for better or worse, poetic memoir about a young girl and her family of Creole aristocrats.",2002-06-18,13454.0,Eve's Bayou,19,a gothic and for better or worse poetic memoir about a young girl and her family of creole aristocrats
Rick Groen,0,119080.0,Globe and Mail,"In Eve's Bayou, Tennessee goes to Louisiana, and finds a familiar home. Tennessee Williams, that is.",2002-04-12,13454.0,Eve's Bayou,16,in eves bayou tennessee goes to louisiana and finds a familiar home tennessee williams that is
Kevin Thomas,1,119080.0,Los Angeles Times,There has never been a film quite like Kasi Lemmons' shimmering Eve's Bayou.,2001-02-14,13454.0,Eve's Bayou,13,there has never been a film quite like kasi lemmons shimmering eves bayou
Jeff Millar,1,119080.0,Houston Chronicle,"The direction is unobtrusive, and Lemmons' performers are up to speed. This is Lemmons' first time out as a director. I'll be interested in what she does next.",2000-01-01,13454.0,Eve's Bayou,28,the direction is unobtrusive and lemmons performers are up to speed this is lemmons first time out as a director ill be interested in what she does next
Roger Ebert,1,119080.0,Chicago Sun-Times,"For the viewer, it is a reminder that sometimes films can venture into the realms of poetry and dreams.",2000-01-01,13454.0,Eve's Bayou,19,for the viewer it is a reminder that sometimes films can venture into the realms of poetry and dreams
Mike Clark,1,119080.0,USA Today,"Smollett, however, is a find with a smile that illuminates the screen -- the dominant performer in a uniformly well-acted film.",2000-01-01,13454.0,Eve's Bayou,21,smollett however is a find with a smile that illuminates the screen    the dominant performer in a uniformly well acted film
Desson Thomson,1,119080.0,Washington Post,"A movie unto itself, a rousing, original yarn about family life that includes everyone.",2000-01-01,13454.0,Eve's Bayou,14,a movie unto itself a rousing original yarn about family life that includes everyone
Cynthia Joyce,1,119080.0,Salon.com,"It would be a shame if Eve's Bayou, Kasi Lemmons' beautiful first feature film, gets pigeonholed as a ""black"" movie just because it has no white characters.",2000-01-01,13454.0,Eve's Bayou,27,it would be a shame if eves bayou kasi lemmons beautiful first feature film gets pigeonholed as a black movie just because it has no white characters
Mike Clark,0,119210.0,USA Today,Quaid is a one-note sadsack here and no natural action hero.,2000-01-01,14766.0,Switchback,11,quaid is a one note sadsack here and no natural action hero
,0,83131.0,TIME Magazine,"Stripes will keep potential felons off the streets for two hours. Few people seem to be asking, these days, that movies do more.",2008-10-05,14899.0,Stripes,23,stripes will keep potential felons off the streets for two hours few people seem to be asking these days that movies do more
Dave Kehr,1,83131.0,Chicago Reader,"The balance of the film consists of time-tested commercial material, most of which is still working fine.",2008-04-01,14899.0,Stripes,17,the balance of the film consists of time tested commercial material most of which is still working fine
,1,83131.0,Time Out,[Reitmam] manages a reasonable success rate at pulling off the numerous verbal and sight gags with which the script is peppered.,2006-02-09,14899.0,Stripes,21,reitmam manages a reasonable success rate at pulling off the numerous verbal and sight gags with which the script is peppered
Roger Ebert,1,83131.0,Chicago Sun-Times,"An anarchic slob movie, a celebration of all that is irreverent, reckless, foolhardy, undisciplined, and occasionally scatological. It's a lot of fun.",2004-10-23,14899.0,Stripes,22,an anarchic slob movie a celebration of all that is irreverent reckless foolhardy undisciplined and occasionally scatological its a lot of fun
Janet Maslin,1,83131.0,New York Times,Mr. Murray hasn't yet reached the point at which his routines can be sustained for more than 10 minutes at a time. But he has achieved a sardonically exaggerated calm that can be very entertaining.,2004-08-30,14899.0,Stripes,35,mr murray hasnt yet reached the point at which his routines can be sustained for more than  minutes at a time but he has achieved a sardonically exaggerated calm that can be very entertaining
Lisa Alspector,0,118689.0,Chicago Reader,Rowan Atkinson's recalcitrant TV character is the hub of this 1997 feature that will disappoint fans and nonfans alike.,2010-04-07,12533.0,Bean,19,rowan atkinsons recalcitrant tv character is the hub of this  feature that will disappoint fans and nonfans alike
Lisa Alspector,1,119327.0,Chicago Reader,I groaned my way through this black -- and blue -- romantic comedy and then decided I liked it.,2013-05-01,15017.0,Hugo Pool,19,i groaned my way through this black    and blue    romantic comedy and then decided i liked it
Michael Wilmington,0,119327.0,Chicago Tribune,It's as if Downey Sr.'s irreverence and off-the-wall humor couldn't quite co-exist with the heartfelt tribute he intends to make here to his wife and her fellow Amyotrophic Lateral Sclerosis sufferers.,2013-05-01,15017.0,Hugo Pool,31,its as if downey srs irreverence and off the wall humor couldnt quite co exist with the heartfelt tribute he intends to make here to his wife and her fellow amyotrophic lateral sclerosis sufferers
Owen Gleiberman,0,119327.0,Entertainment Weekly,"Hugo Pool, the first film in six years from former counterculture director Robert Downey sets new standards in wacko charmlessness.",2011-09-07,15017.0,Hugo Pool,20,hugo pool the first film in six years from former counterculture director robert downey sets new standards in wacko charmlessness
Emanuel Levy,0,119327.0,Variety,The best thing about this bizarre love story (follie de grandeur) between a female pool cleaner and immobile man in wheelchair is that it puts icon Robert Downey behind the camera after long absence; with some luck Patrick Dempsey should become a lead man,2007-01-29,15017.0,Hugo Pool,44,the best thing about this bizarre love story follie de grandeur between a female pool cleaner and immobile man in wheelchair is that it puts icon robert downey behind the camera after long absence with some luck patrick dempsey should become a lead man
James Berardinelli,1,119327.0,ReelViews,"Like David Mamet and relative newcomer Quentin Tarantino, Downey writes some of the best dialogue around, and his script sparkles with it.",2000-01-01,15017.0,Hugo Pool,22,like david mamet and relative newcomer quentin tarantino downey writes some of the best dialogue around and his script sparkles with it
Stephen Holden,1,119327.0,New York Times,"Although this flighty comic allegory about love and death in contemporary Los Angeles is wildly overacted, with loose ends flying everywhere, it still conveys an antic poignancy.",2000-01-01,15017.0,Hugo Pool,27,although this flighty comic allegory about love and death in contemporary los angeles is wildly overacted with loose ends flying everywhere it still conveys an antic poignancy
Emanuel Levy,0,119592.0,Variety,This simplistic and obvious expose about the manipulative power of the news media (lazily acted by Travoilta and Hoffman) is so familiar that it's not going to upset or provoke anyone.,2006-08-21,12522.0,Mad City,31,this simplistic and obvious expose about the manipulative power of the news media lazily acted by travoilta and hoffman is so familiar that its not going to upset or provoke anyone
,1,120490.0,Time Out,"A crisp, rigorously unsentimental director, Winterbottom was a good choice for this project.",2006-01-26,14903.0,Welcome to Sarajevo,13,a crisp rigorously unsentimental director winterbottom was a good choice for this project
Edward Guthmann,1,120490.0,San Francisco Chronicle,A compelling but jumbled film that examines the line between journalistic detachment and passion.,2002-06-18,14903.0,Welcome to Sarajevo,14,a compelling but jumbled film that examines the line between journalistic detachment and passion
James Berardinelli,1,120490.0,ReelViews,Welcome to Sarajevo isn't just the story of an outsider's perspective of the conflict; it's a compelling examination of the role the media played in reporting and shaping the average person's views of the war.,2000-01-01,14903.0,Welcome to Sarajevo,35,welcome to sarajevo isnt just the story of an outsiders perspective of the conflict its a compelling examination of the role the media played in reporting and shaping the average persons views of the war
Roger Ebert,0,120490.0,Chicago Sun-Times,Too often we sense that the actors are drifting and the story is at sea.,2000-01-01,14903.0,Welcome to Sarajevo,15,too often we sense that the actors are drifting and the story is at sea
Charles Taylor,1,120490.0,Salon.com,"Messy and visceral, with an articulate, pointed anger that's recognizably British, ""Welcome to Sarajevo"" hits with an impact that's not diminished by the fact that Sarajevo's uneasy peace has held.",2000-01-01,14903.0,Welcome to Sarajevo,30,messy and visceral with an articulate pointed anger thats recognizably british welcome to sarajevo hits with an impact thats not diminished by the fact that sarajevos uneasy peace has held
Janet Maslin,0,120490.0,New York Times,"However closely they mirror the real experience of Mr. Nicholson and others, some of the shocks here are too sadly predictable.",2000-01-01,14903.0,Welcome to Sarajevo,21,however closely they mirror the real experience of mr nicholson and others some of the shocks here are too sadly predictable
Mike Clark,1,120490.0,USA Today,"Loosely structured, it keeps its focus despite lots of dramatic wiggle room.",2000-01-01,14903.0,Welcome to Sarajevo,12,loosely structured it keeps its focus despite lots of dramatic wiggle room
Todd McCarthy,1,119978.0,Variety,"Coppola has never been particularly known for his comic touch, but here he seems bent on leavening the melodrama with as many laughs as possible, and they are generally honest and well-earned.",2008-06-09,10510.0,The Rainmaker,32,coppola has never been particularly known for his comic touch but here he seems bent on leavening the melodrama with as many laughs as possible and they are generally honest and well earned
Geoff Andrew,1,119978.0,Time Out,"This competent, anonymous legal drama (scripted by Michael Herr) is the best John Grisham adaptation yet.",2006-02-09,10510.0,The Rainmaker,16,this competent anonymous legal drama scripted by michael herr is the best john grisham adaptation yet
Ruthe Stein,1,119978.0,San Francisco Chronicle,"Coppola adapted the novel himself, and he's done a good job of paring it down.",2002-06-18,10510.0,The Rainmaker,15,coppola adapted the novel himself and hes done a good job of paring it down
Jack Mathews,1,119978.0,Los Angeles Times,"Coppola has infused The Rainmaker with enough humor, character, honest emotion and storytelling style to make it one of the year's most entertaining movies.",2001-02-14,10510.0,The Rainmaker,24,coppola has infused the rainmaker with enough humor character honest emotion and storytelling style to make it one of the years most entertaining movies
Charles Taylor,1,119978.0,Salon.com,"Satisfactory mainstream entertainment, with a handful of major actors in juicy minor roles tossed in for good measure.",2000-01-01,10510.0,The Rainmaker,18,satisfactory mainstream entertainment with a handful of major actors in juicy minor roles tossed in for good measure
Mike Clark,1,119978.0,USA Today,Voight proves again what a great character actor he's become by stealing the film as a country club-type defense lawyer with a julep tongue.,2000-01-01,10510.0,The Rainmaker,24,voight proves again what a great character actor hes become by stealing the film as a country club type defense lawyer with a julep tongue
James Berardinelli,1,119978.0,ReelViews,The intelligence and subtlety of The Rainmaker took me by surprise.,2000-01-01,10510.0,The Rainmaker,11,the intelligence and subtlety of the rainmaker took me by surprise
Roger Ebert,1,119978.0,Chicago Sun-Times,"Francis Ford Coppola, who wrote and directed the film, has made the most of Grisham's ground-level realism.",2000-01-01,10510.0,The Rainmaker,17,francis ford coppola who wrote and directed the film has made the most of grishams ground level realism
Janet Maslin,1,119978.0,New York Times,"Despite Mr. Coppola's taste for moodier and more eclectic material, this mainstream opportunity pays off.",2000-01-01,10510.0,The Rainmaker,15,despite mr coppolas taste for moodier and more eclectic material this mainstream opportunity pays off
Owen Gleiberman,1,118749.0,Entertainment Weekly,"Boogie Nights, an epic tale of porn, pleasure, and excess, offers a purer hit of exhilaration than any movie this year.",2010-02-04,14134.0,Boogie Nights,21,boogie nights an epic tale of porn pleasure and excess offers a purer hit of exhilaration than any movie this year
Andrew Sarris,1,118749.0,New York Observer,Not since the mysteriously reclusive Terrence Malick has there been such an explosion of sheer talent on the American movie scene.,2007-04-27,14134.0,Boogie Nights,21,not since the mysteriously reclusive terrence malick has there been such an explosion of sheer talent on the american movie scene
Emanuel Levy,1,118749.0,Variety,"Considering the potentially explosive nature of the yarn, set in the porn world, Anderson's strategy is remarkably nonjudgmental and nonsensationalistic, largely due to his love and respect for all the characters and his impressive storytelling skills.",2006-05-01,14134.0,Boogie Nights,36,considering the potentially explosive nature of the yarn set in the porn world andersons strategy is remarkably nonjudgmental and nonsensationalistic largely due to his love and respect for all the characters and his impressive storytelling skills
Wally Hammond,1,118749.0,Time Out,"In terms of sweep, ambition and precocious cinematic competence, it heralds the arrival of a new talent.",2006-02-09,14134.0,Boogie Nights,17,in terms of sweep ambition and precocious cinematic competence it heralds the arrival of a new talent
Mick LaSalle,1,118749.0,San Francisco Chronicle,"With Boogie Nights we know we're not just watching episodes from disparate lives but a panorama of recent social history, rendered in bold, exuberant colors.",2002-06-18,14134.0,Boogie Nights,25,with boogie nights we know were not just watching episodes from disparate lives but a panorama of recent social history rendered in bold exuberant colors
Kenneth Turan,1,118749.0,Los Angeles Times,"The film is bemused and entertained, as we are, by this pack of sexual extremists, and the eye it casts on them is both benevolent and wry.",2001-02-14,14134.0,Boogie Nights,27,the film is bemused and entertained as we are by this pack of sexual extremists and the eye it casts on them is both benevolent and wry
Charles Taylor,1,118749.0,Salon.com,"Boogie Nights is truly audacious because Anderson doesn't beat you over the head with his daring. In the first half, he goes about turning conventional morality on its head nonchalantly, almost sweetly.",2000-01-01,14134.0,Boogie Nights,32,boogie nights is truly audacious because anderson doesnt beat you over the head with his daring in the first half he goes about turning conventional morality on its head nonchalantly almost sweetly
Roger Ebert,1,118749.0,Chicago Sun-Times,"As a writer and director, Paul Thomas Anderson is a skilled reporter who fills his screen with understated, authentic details.",2000-01-01,14134.0,Boogie Nights,20,as a writer and director paul thomas anderson is a skilled reporter who fills his screen with understated authentic details
